date_utc,fng_value,fng_class,fng_sma_7,fng_sma_30,fng_z180
2022-10-27 00:00:00+00:00,32.0,Fear,24.714285714285715,23.0,1.1742479881841232
2022-10-28 00:00:00+00:00,30.0,Fear,25.714285714285715,23.333333333333332,0.9420577204270885
2022-10-29 00:00:00+00:00,34.0,Fear,27.714285714285715,23.733333333333334,1.3814941859764804
2022-10-30 00:00:00+00:00,34.0,Fear,29.285714285714285,24.166666666666668,1.3712746953784443
2022-10-31 00:00:00+00:00,31.0,Fear,30.571428571428573,24.533333333333335,1.028356239465579
2022-11-01 00:00:00+00:00,30.0,Fear,32.0,24.733333333333334,0.9143336056298835
2022-11-02 00:00:00+00:00,30.0,Fear,31.571428571428573,24.933333333333334,0.9073196266536003
2022-11-03 00:00:00+00:00,30.0,Fear,31.285714285714285,25.266666666666666,0.9010174185688445
2022-11-04 00:00:00+00:00,30.0,Fear,31.285714285714285,25.433333333333334,0.8921221640129927
2022-11-05 00:00:00+00:00,38.0,Fear,31.857142857142858,25.833333333333332,1.7480973553255306
2022-11-06 00:00:00+00:00,40.0,Fear,32.714285714285715,26.4,1.9378548006585008
2022-11-07 00:00:00+00:00,33.0,Fear,33.0,26.7,1.162220914704918
2022-11-08 00:00:00+00:00,31.0,Fear,33.142857142857146,27.0,0.9339528526413401
2022-11-09 00:00:00+00:00,29.0,Fear,33.0,27.233333333333334,0.7070554228658231
2022-11-10 00:00:00+00:00,22.0,Extreme Fear,31.857142857142858,27.166666666666668,-0.06728841965347092
2022-11-11 00:00:00+00:00,25.0,Extreme Fear,31.142857142857142,27.333333333333332,0.25519285488617227
2022-11-12 00:00:00+00:00,21.0,Extreme Fear,28.714285714285715,27.366666666666667,-0.19233420987223418
2022-11-13 00:00:00+00:00,22.0,Extreme Fear,26.142857142857142,27.3,-0.09068001141428553
2022-11-14 00:00:00+00:00,24.0,Extreme Fear,24.857142857142858,27.3,0.12597090962342122
2022-11-15 00:00:00+00:00,22.0,Extreme Fear,23.571428571428573,27.233333333333334,-0.1045005781987466
2022-11-16 00:00:00+00:00,23.0,Extreme Fear,22.714285714285715,27.333333333333332,0.0018838472617607191
2022-11-17 00:00:00+00:00,20.0,Extreme Fear,22.428571428571427,27.266666666666666,-0.34271335731987845
2022-11-18 00:00:00+00:00,23.0,Extreme Fear,22.142857142857142,27.266666666666666,-0.008213891014241869
2022-11-19 00:00:00+00:00,23.0,Extreme Fear,22.428571428571427,27.266666666666666,-0.016530144884815065
2022-11-20 00:00:00+00:00,24.0,Extreme Fear,22.714285714285715,27.3,0.09069093770511162
2022-11-21 00:00:00+00:00,21.0,Extreme Fear,22.285714285714285,27.333333333333332,-0.2619728595672287
2022-11-22 00:00:00+00:00,22.0,Extreme Fear,22.285714285714285,27.3,-0.15353637306601406
2022-11-23 00:00:00+00:00,22.0,Extreme Fear,22.142857142857142,27.3,-0.1607539830923043
2022-11-24 00:00:00+00:00,20.0,Extreme Fear,22.142857142857142,27.3,-0.40010759842649024
2022-11-25 00:00:00+00:00,20.0,Extreme Fear,21.714285714285715,26.866666666666667,-0.40520446344953165
2022-11-26 00:00:00+00:00,22.0,Extreme Fear,21.571428571428573,26.533333333333335,-0.17937207730869548
2022-11-27 00:00:00+00:00,26.0,Fear,21.857142857142858,26.4,0.28769612708003106
2022-11-28 00:00:00+00:00,28.0,Fear,22.857142857142858,26.2,0.5179484226798888
2022-11-29 00:00:00+00:00,26.0,Fear,23.428571428571427,25.933333333333334,0.27331395781931445
2022-11-30 00:00:00+00:00,29.0,Fear,24.428571428571427,25.866666666666667,0.6220802522653758
2022-12-01 00:00:00+00:00,27.0,Fear,25.428571428571427,25.766666666666666,0.37495284100398435
2022-12-02 00:00:00+00:00,27.0,Fear,26.428571428571427,25.666666666666668,0.36632008264418603
2022-12-03 00:00:00+00:00,27.0,Fear,27.142857142857142,25.566666666666666,0.35854214395873185
2022-12-04 00:00:00+00:00,26.0,Fear,27.142857142857142,25.433333333333334,0.23008054048401097
2022-12-05 00:00:00+00:00,26.0,Fear,26.857142857142858,25.033333333333335,0.22441503451557884
2022-12-06 00:00:00+00:00,25.0,Extreme Fear,26.714285714285715,24.533333333333335,0.09316239871109795
2022-12-07 00:00:00+00:00,29.0,Fear,26.714285714285715,24.4,0.577989556766642
2022-12-08 00:00:00+00:00,25.0,Extreme Fear,26.428571428571427,24.2,0.07410834224631949
2022-12-09 00:00:00+00:00,26.0,Fear,26.285714285714285,24.1,0.19134746916565926
2022-12-10 00:00:00+00:00,27.0,Fear,26.285714285714285,24.266666666666666,0.307837258510341
2022-12-11 00:00:00+00:00,26.0,Fear,26.285714285714285,24.3,0.17108216258622583
2022-12-12 00:00:00+00:00,27.0,Fear,26.428571428571427,24.5,0.28873447034829236
2022-12-13 00:00:00+00:00,27.0,Fear,26.714285714285715,24.666666666666668,0.27843178855569234
2022-12-14 00:00:00+00:00,30.0,Fear,26.857142857142858,24.866666666666667,0.6650593296332719
2022-12-15 00:00:00+00:00,31.0,Fear,27.714285714285715,25.166666666666668,0.7924953199217474
2022-12-16 00:00:00+00:00,29.0,Fear,28.142857142857142,25.366666666666667,0.5141294221406177
2022-12-17 00:00:00+00:00,28.0,Fear,28.285714285714285,25.633333333333333,0.36692352145105545
2022-12-18 00:00:00+00:00,26.0,Fear,28.285714285714285,25.733333333333334,0.07558108597962644
2022-12-19 00:00:00+00:00,29.0,Fear,28.571428571428573,25.933333333333334,0.49203509756005515
2022-12-20 00:00:00+00:00,29.0,Fear,28.857142857142858,26.1,0.48331178616310194
2022-12-21 00:00:00+00:00,26.0,Fear,28.285714285714285,26.266666666666666,0.03671500364531476
2022-12-22 00:00:00+00:00,28.0,Fear,27.857142857142858,26.466666666666665,0.3216066318896073
2022-12-23 00:00:00+00:00,27.0,Fear,27.571428571428573,26.633333333333333,0.1642604396511245
2022-12-24 00:00:00+00:00,29.0,Fear,27.714285714285715,26.933333333333334,0.4540516362836561
2022-12-25 00:00:00+00:00,29.0,Fear,28.142857142857142,27.233333333333334,0.4451831699168713
2022-12-26 00:00:00+00:00,28.0,Fear,28.0,27.433333333333334,0.2820211791354142
2022-12-27 00:00:00+00:00,27.0,Fear,27.714285714285715,27.466666666666665,0.11477199241616096
2022-12-28 00:00:00+00:00,28.0,Fear,28.0,27.466666666666665,0.2618075763933959
2022-12-29 00:00:00+00:00,28.0,Fear,28.0,27.533333333333335,0.25207840857945035
2022-12-30 00:00:00+00:00,28.0,Fear,28.142857142857142,27.5,0.24098935660343962
2022-12-31 00:00:00+00:00,25.0,Extreme Fear,27.571428571428573,27.433333333333334,-0.26705434169872727
2023-01-01 00:00:00+00:00,26.0,Fear,27.142857142857142,27.4,-0.1071154061647605
2023-01-02 00:00:00+00:00,27.0,Fear,27.0,27.4,0.052468507850726875
2023-01-03 00:00:00+00:00,26.0,Fear,26.857142857142858,27.4,-0.12441894631446648
2023-01-04 00:00:00+00:00,29.0,Fear,27.0,27.5,0.37731293562221785
2023-01-05 00:00:00+00:00,29.0,Fear,27.142857142857142,27.633333333333333,0.3726738617472832
2023-01-06 00:00:00+00:00,26.0,Fear,26.857142857142858,27.533333333333335,-0.14007114842938231
2023-01-07 00:00:00+00:00,25.0,Extreme Fear,26.857142857142858,27.533333333333335,-0.31377311392483653
2023-01-08 00:00:00+00:00,25.0,Extreme Fear,26.714285714285715,27.5,-0.32533278498350254
2023-01-09 00:00:00+00:00,25.0,Extreme Fear,26.428571428571427,27.433333333333334,-0.33878548077842674
2023-01-10 00:00:00+00:00,26.0,Fear,26.428571428571427,27.433333333333334,-0.17346291550522433
2023-01-11 00:00:00+00:00,26.0,Fear,26.0,27.4,-0.18648278144868244
2023-01-12 00:00:00+00:00,30.0,Fear,26.142857142857142,27.5,0.5163318409407208
2023-01-13 00:00:00+00:00,31.0,Fear,26.857142857142858,27.533333333333335,0.6871310258668579
2023-01-14 00:00:00+00:00,46.0,Fear,29.857142857142858,28.033333333333335,3.246003685092198
2023-01-15 00:00:00+00:00,52.0,Neutral,33.714285714285715,28.8,4.066140424440336
2023-01-16 00:00:00+00:00,45.0,Fear,36.57142857142857,29.366666666666667,2.8331105227444455
2023-01-17 00:00:00+00:00,51.0,Neutral,40.142857142857146,30.2,3.655482779795035
2023-01-18 00:00:00+00:00,52.0,Neutral,43.857142857142854,30.966666666666665,3.6578135714097595
2023-01-19 00:00:00+00:00,45.0,Fear,46.0,31.5,2.547475667240409
2023-01-20 00:00:00+00:00,51.0,Neutral,48.857142857142854,32.333333333333336,3.31157474664334
2023-01-21 00:00:00+00:00,53.0,Neutral,49.857142857142854,33.166666666666664,3.458908265667378
2023-01-22 00:00:00+00:00,53.0,Neutral,50.0,34.03333333333333,3.3306277256003436
2023-01-23 00:00:00+00:00,50.0,Neutral,50.714285714285715,34.733333333333334,2.845446737737673
2023-01-24 00:00:00+00:00,52.0,Neutral,50.857142857142854,35.5,3.015306947619109
2023-01-25 00:00:00+00:00,51.0,Neutral,50.714285714285715,36.266666666666666,2.828553891819848
2023-01-26 00:00:00+00:00,54.0,Neutral,52.0,37.166666666666664,3.1330779682396184
2023-01-27 00:00:00+00:00,55.0,Greed,52.57142857142857,38.06666666666667,3.167581878091883
2023-01-28 00:00:00+00:00,52.0,Neutral,52.42857142857143,38.86666666666667,2.7377897964682614
2023-01-29 00:00:00+00:00,55.0,Greed,52.714285714285715,39.766666666666666,2.9973165040547665
2023-01-30 00:00:00+00:00,61.0,Greed,54.285714285714285,40.96666666666667,3.540531672878708
2023-01-31 00:00:00+00:00,51.0,Neutral,54.142857142857146,41.8,2.382586985979127
2023-02-01 00:00:00+00:00,56.0,Greed,54.857142857142854,42.766666666666666,2.8455612155001786
2023-02-02 00:00:00+00:00,60.0,Greed,55.714285714285715,43.9,3.1621250618344376
2023-02-03 00:00:00+00:00,60.0,Greed,56.42857142857143,44.93333333333333,3.0614815994769438
2023-02-04 00:00:00+00:00,58.0,Greed,57.285714285714285,45.9,2.7823452775355184
2023-02-05 00:00:00+00:00,58.0,Greed,57.714285714285715,46.96666666666667,2.726509986071507
2023-02-06 00:00:00+00:00,56.0,Greed,57.0,48.0,2.4760733225803513
2023-02-07 00:00:00+00:00,54.0,Neutral,57.42857142857143,48.96666666666667,2.253366812042663
2023-02-08 00:00:00+00:00,58.0,Greed,57.714285714285715,50.06666666666667,2.5810772148097243
2023-02-09 00:00:00+00:00,55.0,Greed,57.0,51.03333333333333,2.2788397823509228
2023-02-10 00:00:00+00:00,48.0,Neutral,55.285714285714285,51.766666666666666,1.6343597984107046
2023-02-11 00:00:00+00:00,49.0,Neutral,54.0,52.4,1.7186608573943103
2023-02-12 00:00:00+00:00,50.0,Neutral,52.857142857142854,53.03333333333333,1.798665692876499
2023-02-13 00:00:00+00:00,48.0,Neutral,51.714285714285715,53.1,1.6057340811421574
2023-02-14 00:00:00+00:00,50.0,Neutral,51.142857142857146,53.03333333333333,1.7614147661574588
2023-02-15 00:00:00+00:00,53.0,Neutral,50.42857142857143,53.3,1.9985201625793703
2023-02-16 00:00:00+00:00,62.0,Greed,51.42857142857143,53.666666666666664,2.7235345186072037
2023-02-17 00:00:00+00:00,61.0,Greed,53.285714285714285,53.96666666666667,2.572005668735347
2023-02-18 00:00:00+00:00,60.0,Greed,54.857142857142854,54.46666666666667,2.4309595723821884
2023-02-19 00:00:00+00:00,60.0,Greed,56.285714285714285,54.766666666666666,2.3779989108092185
2023-02-20 00:00:00+00:00,58.0,Greed,57.714285714285715,54.93333333333333,2.1700856958313226
2023-02-21 00:00:00+00:00,60.0,Greed,59.142857142857146,55.166666666666664,2.285110472782435
2023-02-22 00:00:00+00:00,59.0,Greed,60.0,55.46666666666667,2.162374596491823
2023-02-23 00:00:00+00:00,56.0,Greed,59.142857142857146,55.6,1.8929603702673277
2023-02-24 00:00:00+00:00,53.0,Neutral,58.0,55.666666666666664,1.6341832002529646
2023-02-25 00:00:00+00:00,52.0,Neutral,56.857142857142854,55.6,1.5354531966145284
2023-02-26 00:00:00+00:00,51.0,Neutral,55.57142857142857,55.46666666666667,1.4397000365943933
