ds,y,btc_volume_log1p,spx_close,hr_hash_rate,fg_fng_value,gt_bitcoin,btc_eth_ratio,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,gt_bitcoin_z91d,hr_hash_rate_z91d,fg_fng_value_z91d_l1,fg_fng_value_z91d_l3,fg_fng_value_z91d_l7,fg_fng_value_z91d_l14,gt_bitcoin_z91d_l28,gt_bitcoin_z91d_l35,gt_bitcoin_z91d_l42,gt_bitcoin_z91d_l49,gt_bitcoin_z91d_l56,hr_hash_rate_z91d_l14,hr_hash_rate_z91d_l28,m2_ma30,m2_lag30,rsi_14,sma_50,sma_200,macd_12_26,macd_signal_9,macd_hist,sma_ratio_50_200
2021-05-03,57200.29296875,24.66897772605667,4192.66015625,181331416.27324063,61.0,28.0,16.671190970026533,65.26666666666667,31.4,157347066.6326661,-0.8936325831978675,-0.619746566214358,1.408646907223834,-0.5484058123013985,-1.6524094763357513,-3.599821016420407,-0.1816792970791972,-0.8193611308888794,-0.7974800594635836,-0.8059097958212298,-0.2892828970711417,-0.4418632925351796,-2.793081881457472,2.2265013777979674,20242.253333333338,20101.3,53.06668722248768,56957.629375,36756.49625,-275.70695775107015,-679.5418435333643,403.8348857822941,1.5495935463380845
2021-05-04,53333.5390625,24.951043763605096,4164.66015625,181331416.27324063,68.0,28.0,16.39201414646174,65.06666666666666,31.5,158369045.31740382,-0.3828605935913139,-0.6256623812603227,1.378329157218625,-0.8936325831978675,-0.4137620715104655,-1.8084590197756485,-0.266088398818485,-0.9731247746260354,-0.7404321161268563,-0.8183756239593573,-0.487049433907203,-0.1031966406086954,-2.656155824280666,2.1450448170303416,20243.39,20101.3,44.008961023142504,56906.156171875,36966.553330078124,-449.1669914279337,-633.4668731122782,184.29988168434454,1.539395779307693
2021-05-05,57424.0078125,24.96086358423131,4167.58984375,160841990.70564282,48.0,29.0,16.300749862086363,64.3,31.566666666666663,157749569.51292193,-1.7683998985563982,-0.5316239310826161,0.1813600082325607,-0.3828605935913139,-0.5484058123013985,-1.11660580665305,-0.2610218122453702,-1.0370837312816323,-0.884235806585062,-0.5961273157061074,-0.5558683041070891,-0.2240480406494659,-2.27538198404229,2.1646746462404023,20244.52666666667,20101.3,53.1240080243638,56918.53828125,37196.88286132812,-253.6448156314218,-557.502461616107,303.8576459846852,1.5301964547256612
2021-05-06,56396.515625,24.964927570915417,4201.6201171875,160841990.70564282,65.0,28.0,16.155384782587106,63.96666666666667,31.666666666666668,157130093.7084401,-0.5535085033058993,-0.6341736366310572,0.1846051168299345,-1.7683998985563982,-0.8936325831978675,-1.6250800346787115,-0.9766599651710416,-0.9423319143263024,-0.6288680788191366,-0.3146044530424309,-0.4894763461577801,-0.2964555797441203,-2.229049445599384,2.087980875517504,20245.66333333333,20101.3,50.88319859869598,56869.050703125,37421.44864257812,-179.53257529933035,-481.9084843527517,302.37590905342137,1.5196913205123599
2021-05-07,57356.40234375,24.949135955696093,4232.60009765625,176209059.88134116,64.0,24.0,16.459358038876374,63.7,31.666666666666668,156984514.59766948,-0.6109042822597325,-1.0346983495683877,1.0689941446483948,-0.5535085033058993,-0.3828605935913139,-1.6524094763357513,-1.978211092617772,-1.023222090280408,-0.9673032126350608,-0.821679109761894,-0.7849970384786367,-0.3164397907873453,0.10901259658326,1.5584082864580988,20250.936666666665,20101.3,52.88269518408618,56859.0003125,37649.52046875,-42.84931456563936,-394.0966503953293,351.2473358296899,1.5102184464658541
2021-05-08,58803.77734375,24.90352782660374,4232.60009765625,176209059.88134116,67.0,25.0,15.067662209744048,63.5,31.666666666666668,156838935.48689887,-0.3865764249126456,-0.922164400276234,1.060245324960505,-0.6109042822597325,-1.7683998985563982,-0.4137620715104655,-3.400992974341015,-0.8221804208036113,-1.0300092436598598,-1.065839474920688,-0.791829859173253,0.3126225894437081,0.1100306092876751,1.5312356711831998,20256.21,20101.3,55.80426783632542,56868.1428125,37883.95768066406,180.18713546292565,-279.2398932236783,459.42702868660393,1.501114094041063
2021-05-09,58232.31640625,24.9115057960332,4232.60009765625,190551657.77865964,73.0,26.0,14.821740348389826,63.6,31.733333333333334,157363137.70009884,0.0493546442848965,-0.8212971867387076,1.844400472554643,-0.3865764249126456,-0.5535085033058993,-0.5484058123013985,-3.6056791385265057,-0.8943545684399972,-1.0104944145765962,-1.1686529187886745,-0.8581523401923212,0.1838899297444674,0.5258489353415936,0.8337095537321412,20254.656666666662,20306.1,54.370786536499004,56866.51625,38111.00081542969,307.2907507506825,-161.93376442880614,469.22451517948866,1.4921286513939283
2021-05-10,55859.796875,24.996823606420534,4188.43017578125,190551657.77865964,72.0,27.0,14.133512751816156,63.666666666666664,31.766666666666666,157887339.9132988,-0.0133611056261393,-0.710267487981723,1.806485603811228,0.0493546442848965,-0.6109042822597325,-0.8936325831978675,-3.599821016420407,-0.8072561519371875,-0.8193611308888794,-0.7974800594635836,-0.8059097958212298,-0.2892828970711417,0.5131020561396643,0.8220877387765201,20253.103333333333,20306.1,48.7695802743472,56833.24375,38325.47034179688,214.1106491157334,-86.72488171989824,300.83553083563163,1.4829105355562713
2021-05-11,56704.57421875,24.839182641569256,4152.10009765625,176209059.88134116,61.0,26.0,13.60245598828697,63.166666666666664,31.8,158201828.14827204,-0.7823961883388794,-0.8310738704232707,0.9987323991715832,-0.0133611056261393,-0.3865764249126456,-0.3828605935913139,-1.8084590197756485,0.0030474852525261,-0.9731247746260354,-0.7404321161268563,-0.8183756239593573,-0.487049433907203,0.5695173649855962,0.5200360375805188,20251.549999999996,20306.1,50.716442180085835,56876.75234375,38544.335517578125,206.0559342408742,-28.168718527743753,234.22465276861794,1.475618961385685
2021-05-12,49150.53515625,25.04362188612765,4063.0400390625,176209059.88134116,68.0,27.0,12.98269950104586,62.96666666666667,31.833333333333332,158516316.38324532,-0.2598248368537633,-0.700779789926532,0.9794332225768404,-0.7823961883388794,0.0493546442848965,-1.7683998985563982,-1.11660580665305,0.4199114087109394,-1.0370837312816323,-0.884235806585062,-0.5961273157061074,-0.5558683041070891,0.5568605717238665,0.5121693008339083,20249.996666666662,20306.1,37.1288985671895,56764.984140625,38724.547880859376,-405.20436227635946,-103.57584727746689,-301.62851499889257,1.4658656394199654
