ds,y,sma_50,sma_200,spx_close,hr_hash_rate_ma30,m2_ma30,fg_fng_value_ma30,gt_bitcoin_ma30,fg_fng_value,macd_signal_9
2023-12-12,41450.22265625,37555.2721875,30404.237236328125,4643.7001953125,487128108.3996312,20713.403333333332,70.0,14.070133333333333,67.0,1806.7232506504397
2023-12-13,42890.7421875,37735.056484375,30484.3491796875,4707.08984375,490777622.64860463,20718.17666666667,69.76666666666667,14.136466666666667,65.0,1789.2816077380696
2023-12-14,43023.97265625,37905.47953125,30559.04081054687,4719.5498046875,494427136.89757806,20722.95,69.86666666666666,14.164,72.0,1766.9263161004371
2023-12-15,41929.7578125,38060.94171875,30629.96017578125,4719.18994140625,496744351.0086981,20727.659999999996,70.2,14.154566666666666,70.0,1721.178404715495
2023-12-16,42240.1171875,38227.548046875,30702.649013671875,4719.18994140625,499061565.119818,20732.37,70.1,14.140133333333331,67.0,1664.1953223940925
2023-12-17,41364.6640625,38373.04984375,30773.37404296875,4719.18994140625,499714588.823774,20737.02,70.43333333333334,14.140133333333331,73.0,1585.397018849832
2023-12-18,42623.5390625,38534.751015625,30852.391875,4740.56005859375,500367612.5277301,20741.67,70.3,14.197866666666668,65.0,1513.527269439778
2023-12-19,42270.52734375,38690.114296875,30927.4965625,4768.3701171875,500215494.117609,20746.32,70.53333333333333,14.284433333333334,73.0,1440.686003955987
2023-12-20,43652.25,38869.803671875,31010.38216796875,4698.35009765625,500063375.707488,20750.97,70.7,14.356566666666668,74.0,1389.8152336873377
2023-12-21,43869.15234375,39038.441640625,31094.13259765625,4746.75,500055947.4382101,20755.62,70.66666666666667,14.443133333333334,70.0,1355.6747541831462
2023-12-22,43997.90234375,39219.63484375,31185.32162109375,4754.6298828125,500048519.16893214,20762.7,71.06666666666666,14.500833333333333,74.0,1332.7744712251413
2023-12-23,43739.54296875,39399.77921875,31267.825419921875,4754.6298828125,502971679.10017663,20769.78,71.2,14.558566666666668,70.0,1310.9601608301214
2023-12-24,43016.1171875,39558.45765625,31351.176015625,4754.6298828125,505894839.0314211,20775.153333333332,71.36666666666666,14.587433333333337,71.0,1276.4402799834231
2023-12-25,43613.140625,39729.733359375,31436.700634765624,4754.6298828125,505439093.456357,20780.526666666665,71.36666666666666,14.645166666666666,73.0,1242.3822775818064
2023-12-26,42520.40234375,39879.393984375,31516.900771484376,4774.75,504983347.881293,20785.9,71.3,14.760566666666668,71.0,1190.1335068184856
2023-12-27,43442.85546875,40039.37984375,31604.85884765625,4781.580078125,505736094.18415344,20791.27333333333,71.53333333333333,14.861566666666668,73.0,1141.226727613613
2023-12-28,42627.85546875,40178.83140625,31688.29728515625,4783.35009765625,506488840.487014,20796.646666666667,71.7,14.948133333333336,73.0,1081.374482591469
2023-12-29,42099.40234375,40286.956953125,31769.281796875,4769.830078125,509190873.0754256,20802.89333333333,71.46666666666667,15.0347,65.0,1006.9035530751206
2023-12-30,42156.90234375,40383.815625,31850.472666015627,4769.830078125,511892905.66383713,20809.14,71.26666666666667,15.063566666666668,68.0,925.7962465556832
2023-12-31,42265.1875,40486.358359375,31936.175224609375,4769.830078125,511475492.3245442,20815.70333333333,71.13333333333334,15.0347,67.0,844.3987160391905
2024-01-01,44167.33203125,40628.614609375,32029.129912109376,4769.830078125,511058078.9852512,20822.266666666663,70.83333333333333,15.063566666666668,65.0,795.509321375461
2024-01-02,44957.96875,40797.726875,32122.28244140625,4742.830078125,508108221.5261504,20828.83,70.76666666666667,15.308833333333332,71.0,780.3592797525288
2024-01-03,42848.17578125,40943.937578125,32203.96994140625,4704.81005859375,505158364.0670496,20835.39333333333,70.63333333333334,15.323266666666669,70.0,751.7114899416642
2024-01-04,44179.921875,41069.924375,32293.188486328127,4688.68017578125,509902165.1225937,20841.956666666665,70.4,15.222266666666666,68.0,735.6392661257323
2024-01-05,44162.69140625,41230.0828125,32379.746796875,4697.240234375,514645966.1781379,20847.92666666667,70.4,15.164533333333337,72.0,726.3401232191958
2024-01-06,43989.1953125,41377.933046875,32458.05533203125,4697.240234375,518664832.6583755,20853.896666666667,70.33333333333333,15.063533333333334,70.0,717.3501877370818
2024-01-07,43943.09765625,41525.0809375,32527.6343359375,4697.240234375,522683699.1386131,20856.54333333333,70.3,14.991366666666668,71.0,706.6548773861753
2024-01-08,46970.50390625,41716.760078125,32612.92544921875,4763.5400390625,519923016.0013876,20859.19,70.23333333333333,15.150066666666667,71.0,742.1412261162181
2024-01-09,46139.73046875,41890.015546875,32690.1467578125,4756.5,517162332.8641621,20861.836666666662,70.3,15.453066666666668,76.0,789.7670960721397
2024-01-10,46627.77734375,42106.29484375,32770.54216796875,4783.4501953125,515672602.345488,20864.483333333337,70.26666666666667,16.059066666666666,73.0,848.4916198333223
