date,fg_fng_value_z13w,gt_bitcoin_z13w,hr_hash_rate_z13w
2020-04-03 00:00:00+00:00,-1.4559684304739051,0.14470906747201417,-0.19393709344875842
2020-04-10 00:00:00+00:00,-1.0427816892063553,0.042658120991353216,-0.5795541471137716
2020-04-17 00:00:00+00:00,-1.0005635302383675,-0.20455250805298383,0.9493093446102067
2020-04-24 00:00:00+00:00,-0.6843386115416267,-0.2686218933341393,0.5379334804518503
2020-05-01 00:00:00+00:00,0.03120242514672736,0.7252708918297976,0.5556295865638414
2020-05-08 00:00:00+00:00,0.9752389692521563,1.1412762657994262,1.205662475730384
2020-05-15 00:00:00+00:00,1.0955095108401487,1.915775723079259,0.44015267202741537
2020-05-22 00:00:00+00:00,1.3325621188743675,-0.09630437829448314,-1.4241415555615609
2020-05-29 00:00:00+00:00,1.0230044982874529,-0.625065241433515,-1.439319431385997
2020-06-05 00:00:00+00:00,1.5082090547918425,-0.8458045928553459,0.3458818788794224
2020-06-12 00:00:00+00:00,1.246996971432748,-1.0604572343301737,0.9155178228124712
2020-06-19 00:00:00+00:00,0.4097010652859795,-1.1390261825019978,-0.28523910699083077
2020-06-26 00:00:00+00:00,0.44293023807947135,-1.1010605493027246,0.7683277324666077
2020-07-03 00:00:00+00:00,0.3855316499700948,-1.0675737902161668,0.9086389672089786
2020-07-10 00:00:00+00:00,0.23182447055756683,-1.0448207932590052,1.6037340058979785
2020-07-17 00:00:00+00:00,0.19768164799465401,-0.6742402393128677,0.614315574703427
2020-07-24 00:00:00+00:00,0.7288238596807075,-0.641852624727511,-0.07691975854911708
2020-07-31 00:00:00+00:00,2.8280475816897646,0.6846420773414599,1.1767749184528693
2020-08-07 00:00:00+00:00,2.509784675298047,0.8609785193458509,1.004455478728086
2020-08-14 00:00:00+00:00,1.9778860661252298,0.5836661591682146,0.9463571927716359
2020-08-21 00:00:00+00:00,1.6918900596146573,0.5602581705866445,0.9049387257482295
2020-08-28 00:00:00+00:00,1.1993448661426562,-0.35122271804366684,0.8654078800473325
2020-09-04 00:00:00+00:00,0.8493531216763566,-0.09007742419629942,0.3983832186317563
2020-09-11 00:00:00+00:00,-0.968815189164386,-0.20435613265461003,1.4897936676331296
2020-09-18 00:00:00+00:00,-0.8118742820641647,-0.8975574060146103,2.1327789319117696
2020-09-25 00:00:00+00:00,-0.759184029828675,-1.0943111985358904,1.66413739449738
2020-10-02 00:00:00+00:00,-0.7840811213282382,-1.3340730715082136,1.2894144448356804
2020-10-09 00:00:00+00:00,-0.8665673312236313,-1.3142694062453502,1.4006508744065993
2020-10-16 00:00:00+00:00,-0.3305474657221216,-0.8265944080689684,1.531627989233127
2020-10-23 00:00:00+00:00,0.08120635555282059,0.3634909007319313,0.34629223525282266
2020-10-30 00:00:00+00:00,0.6627443502435062,1.016348509801223,-2.104442590936878
2020-11-06 00:00:00+00:00,0.9235005586168747,1.6080933368603723,-1.4337555224773657
2020-11-13 00:00:00+00:00,1.5866996373103832,1.8843668639360258,-0.5517816086752396
2020-11-20 00:00:00+00:00,1.5489147871865088,2.437071445908582,0.47493469623510587
2020-11-27 00:00:00+00:00,1.4701647613721545,2.4130258330998995,0.4117261867973609
2020-12-04 00:00:00+00:00,1.2931765249314386,1.4189994441218652,-0.7219274941321109
2020-12-11 00:00:00+00:00,1.1752646000097393,0.4809615394951379,-0.06031191251196141
2020-12-18 00:00:00+00:00,1.0143737491616311,1.6231728200581144,0.1809046727301721
2020-12-25 00:00:00+00:00,0.8265629630680278,1.5834286995475544,0.14240726945801352
2021-01-01 00:00:00+00:00,0.7819132159117403,2.3359266777572087,1.2146956259224548
2021-01-08 00:00:00+00:00,0.7626572243023593,2.835673133534703,1.422199247664392
2021-01-15 00:00:00+00:00,0.147314234340218,2.0783480862835977,1.5788838503037699
2021-01-22 00:00:00+00:00,-1.631355982829272,0.7493607816201261,0.8470799372187167
2021-01-29 00:00:00+00:00,-1.938793833972485,0.36847830813776583,1.4198135060688413
2021-02-05 00:00:00+00:00,-1.1769519278967908,0.07128233617916478,1.724970616173437
2021-02-12 00:00:00+00:00,0.29892332914540787,1.2064210003218625,1.8163727757885164
2021-02-19 00:00:00+00:00,0.7810389781293149,0.9421305944280486,0.22912078197074479
2021-02-26 00:00:00+00:00,-0.4997922384484437,1.3464654254093311,1.0421716544693984
2021-03-05 00:00:00+00:00,-1.936817623711664,-0.033496651217975786,-0.06911707573977811
