ds,y,spx_close,fg_fng_value,btc_eth_ratio,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,m2_ma30,m2_lag30,rsi_14,sma_50,sma_200,macd_12_26,macd_signal_9,sma_ratio_50_200
2019-07-27,9477.677734375,3025.860107421875,47.0,45.69574737519248,53.56666666666667,12.0267,63629351.894432895,-0.86168684360268,14792.933333333332,14796.6,41.474839381373734,10350.9484375,8423.391806914427,-252.71917477352144,-87.61093784513736,1.2288337851034443
2019-07-28,9552.8603515625,3025.860107421875,16.0,45.23422619791649,52.03333333333333,11.6741,64048280.20423519,-2.5197357180932363,14796.91,14676.2,42.26757792913658,10382.9230859375,8433.849848994503,-282.38316709546234,-126.56538369520236,1.2311012493511924
2019-07-29,9519.1455078125,3020.969970703125,19.0,45.05719372196188,50.2,11.537,64269782.71446189,-2.288001597078832,14800.886666666664,14676.2,41.99288249303842,10419.544453125,8443.80668990109,-305.0956481357807,-162.27143658331804,1.2339866171482723
2019-07-30,9607.423828125,3013.179931640625,22.0,45.63606903596332,48.333333333333336,11.429266666666669,64491285.22468858,-2.07750253922157,14804.863333333333,14676.2,43.03677609523936,10451.686337890626,8454.385027521306,-312.3713083203802,-192.29141093073048,1.2362444227306375
2019-07-31,10085.6279296875,2980.3798828125,31.0,46.125939952202835,47.2,11.272566666666666,65165180.13756275,-1.5742053958498954,14808.839999999998,14676.2,48.44877679960469,10494.844609375,8469.080909522803,-276.36448915722576,-209.1060265760295,1.2391952233653107
2019-08-01,10399.6689453125,2953.56005859375,57.0,47.74685907408101,47.0,11.0865,65839075.05043692,-0.2305539520331021,14812.816666666668,14676.2,51.69454303681529,10539.92083984375,8486.318302699498,-219.95286048487287,-211.2753933577982,1.2419898080526863
2019-08-02,10518.1748046875,2932.050048828125,61.0,48.27695031758041,46.4,10.978766666666669,66101809.26888453,-0.0216865023007001,14817.2,14676.2,52.899690413220014,10585.665859375,8504.299333690542,-163.79567134146237,-201.77944895453103,1.2447428581727993
2019-08-03,10821.7265625,2932.050048828125,61.0,48.63908475661724,45.9,10.851433333333334,66364543.48733215,-0.0188389063951743,14821.583333333334,14676.2,55.93246632080412,10628.22373046875,8524.627642715186,-93.7163012031324,-180.16681940425133,1.2467669176789455
2019-08-04,10970.1845703125,2932.050048828125,62.0,49.26661962547085,45.733333333333334,10.733933333333336,66373891.70478589,0.0359820751107479,14821.993333333334,14795.4,57.37792830623869,10670.859921875,8545.893355129076,-25.900015699990036,-149.31345866339908,1.248653531988035
2019-08-05,11805.6533203125,2844.739990234375,64.0,50.40519166858421,45.46666666666667,10.841666666666669,66383239.922239624,0.13595619032057,14822.403333333334,14795.4,64.44581966678788,10727.08322265625,8573.994734139278,94.1746383631562,-100.61583925808804,1.2511184757256693
