ds,P_t,y_true,y_hat,dP_hat,signal
2024-02-02,43185.86,0.08776149551837165,0.009357273578643799,405.998463715041,1
2024-02-09,47147.2,0.10104518710755528,0.009677378460764885,458.4761432603191,1
2024-02-16,52160.203,-0.027763919848529994,0.010043379850685596,526.5042472151181,1
2024-02-23,50731.95,0.20766034369460762,0.009913502261042595,505.43246459141665,1
2024-03-01,62440.633,0.08969485096376673,0.01058075949549675,664.176872050426,1
2024-03-08,68300.09,0.01603010451206721,0.010853159241378307,745.3089152612374,1
2024-03-15,69403.77,-0.08452096924228059,0.010871746577322483,758.6566881475737,0
2024-03-22,63778.76,0.09154284930966128,0.01054244302213192,675.9407160640621,1
2024-03-29,69892.83,-0.029845865728590937,0.010862928815186024,763.3795993489475,1
2024-04-05,67837.64,-0.009505415835562303,0.010707925073802471,730.3034053614974,1
2024-04-12,67195.87,-0.05117591467646854,0.010643799789249897,719.0392535267019,1
2024-04-19,63843.57,-0.0013832410935723516,0.010417227633297443,668.5491702317158,1
2024-04-26,63755.32,-0.01366807071285514,0.010375198908150196,664.9174874853634,1
2024-05-03,62889.836,-0.033913578251418386,0.010295253247022629,650.8111728027361,0
2024-05-10,60792.777,0.09799559096969723,0.010132829658687115,619.1343478409908,1
2024-05-17,67051.875,0.02174812105306856,0.010418335907161236,702.2205902756104,1
2024-05-24,68526.1,-0.015214304807702916,0.010459993034601212,720.5444037717243,1
2024-05-31,67491.414,0.027058844264491455,0.010359075851738453,702.7824808325968,1
2024-06-07,69342.586,-0.04923647583842339,0.010418732650578022,726.2385379974003,1
2024-06-14,66011.09,-0.02943767841588496,0.010184098966419697,675.6983226928278,1
2024-06-21,64096.2,-0.06071908488078037,0.010037479922175407,646.6040292437028,0
2024-06-28,60320.137,-0.06255558469730893,0.009769419208168983,592.1806255572083,0
2024-07-05,56662.375,0.02159773424720335,0.009497005492448807,540.6862730002977,0
2024-07-12,57899.465,0.1416491206923869,0.009538359940052032,554.9081873820396,0
2024-07-19,66710.16,0.017856367772003168,0.009958067908883095,667.622903643598,0
2024-07-26,67912.06,-0.10055845328505697,0.00998619943857193,681.5809127430111,0
2024-08-02,61415.066,-0.008748609984419176,0.009591364301741123,591.8882419786169,0
2024-08-09,60880.113,-0.03316556890301747,0.009529783390462399,582.9475598857898,0
2024-08-16,58894.105,0.08461529376693555,0.009372293017804623,554.5675343738112,0
2024-08-23,64094.355,-0.08079586433926345,0.009615067392587662,619.2438075550454,0
2024-08-30,59119.477,-0.0915258342080616,0.0093108294531703,553.0219189050767,0
2024-09-06,53948.754,0.11578658755420079,0.008982297033071518,486.7666013345297,0
2024-09-13,60571.3,0.042371988027543495,0.009361992590129375,569.7308083216703,0
2024-09-20,63192.977,0.04028477220580662,0.00947024766355753,601.2958591824499,0
2024-09-27,65790.664,-0.0582558118226828,0.009574531577527523,632.940006801291,0
2024-10-04,62067.477,0.006065478638776156,0.009357493370771408,583.5218978243065,0
2024-10-11,62445.09,0.09135988392329253,0.009346360340714455,586.37025801243,0
2024-10-18,68418.79,-0.026306272813327425,0.009613770991563797,660.9345246174198,0
2024-10-25,66642.414,0.041733268847236715,0.009491202421486378,635.527831935935,0
2024-11-01,69482.47,0.09681058344594007,0.009604135528206825,670.5338535877672,0
2024-11-08,76545.48,0.17369955418250527,0.009896102361381054,761.2624582803546,1
2024-11-15,91066.01,0.08351162572863124,0.010477572679519653,959.1668337910378,1
2024-11-22,98997.664,-0.015638620460856956,0.010730942711234093,1068.0586498500634,1
2024-11-29,97461.52,0.024919338040877648,0.010645869188010693,1043.105121487184,1
2024-12-06,99920.71,0.015280367120634963,0.010692502371966839,1074.1347893103375,1
2024-12-13,101459.26,-0.037183476610191946,0.010706772096455097,1092.1373738000839,1
2024-12-20,97755.93,-0.03742678609344097,0.010549766942858696,1036.7614589301083,0
2024-12-27,94164.86,0.0410160268514268,0.010401695035398006,984.5859609434119,1
2025-01-03,98107.43,-0.03533379116021074,0.010507949627935886,1036.3433184504247,1
2025-01-10,94701.45,0.09809444023893832,0.010355224832892418,985.7498287674534,1
2025-01-17,104462.04,0.0034159188134506024,0.01064493041485548,1117.930737785704,1
2025-01-24,104819.484,-0.02330393579593526,0.010620729066431522,1119.192138308601,1
2025-01-31,102405.02,-0.05909136258459746,0.010521749965846539,1083.1684365553665,1
2025-02-07,96529.086,0.010100001515361612,0.010308618657290936,1000.2281646308256,0
2025-02-14,97508.97,-0.014289224246107679,0.010307874530553818,1010.3083485963871,0
2025-02-21,96125.55,-0.13040758579657918,0.01022325735539198,987.7566785096715,0
2025-02-28,84373.01,0.027698355850400702,0.009817201644182205,832.3860179292242,0
2025-03-07,86742.67,-0.032497045555354376,0.009868405759334564,860.2495286063204,0
2025-03-14,83969.1,0.000882554279195702,0.009739580564200878,821.8194060777168,0
2025-03-21,84043.24,0.0036807243894170227,0.009712708182632923,820.2645113481703,0
2025-03-28,84353.15,-0.006056549085242224,0.009694713167846203,821.7565046333912,0
2025-04-04,83843.805,-0.0052493103126796115,0.00965214055031538,813.1903907893284,0
2025-04-11,83404.836,0.012462882180878765,0.009610913693904877,805.4610889506439,0
2025-04-18,84450.805,0.1147612743619888,0.00961917545646429,816.2667231619416,0
2025-04-25,94720.5,0.022852985227896028,0.009909152053296566,943.2655998320843,0
2025-05-02,96910.07,0.06066250340021817,0.009948475286364555,968.9190788285923,0
2025-05-09,102970.85,0.0050221906242153835,0.010109402239322662,1046.2533288709965,0
2025-05-16,103489.29,0.036046814175216824,0.010092080570757389,1049.7102235582279,0
